"Laikotarpis","Rodiklis","Amžius","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Moterys","asmenys","12905"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Vyrai ir moterys","asmenys","28310"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Vyrai","asmenys","14596"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Moterys","asmenys","13714"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Vyrai ir moterys","asmenys","26216"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Vyrai","asmenys","13392"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Moterys","asmenys","12824"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Vyrai ir moterys","asmenys","25134"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Vyrai","asmenys","12936"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Moterys","asmenys","12198"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Vyrai ir moterys","asmenys","25939"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Vyrai","asmenys","13237"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","19","Miestas ir kaimas","Moterys","asmenys","12702"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Vyrai ir moterys","asmenys","30021"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Vyrai","asmenys","15526"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Moterys","asmenys","14495"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Vyrai ir moterys","asmenys","27406"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Vyrai","asmenys","14169"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Moterys","asmenys","13237"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Vyrai ir moterys","asmenys","25877"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Vyrai","asmenys","13173"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Moterys","asmenys","12704"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Vyrai ir moterys","asmenys","25231"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Vyrai","asmenys","12920"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","20","Miestas ir kaimas","Moterys","asmenys","12311"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Vyrai ir moterys","asmenys","30161"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Vyrai","asmenys","15696"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Moterys","asmenys","14465"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Vyrai ir moterys","asmenys","28630"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Vyrai","asmenys","14688"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Moterys","asmenys","13942"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Vyrai ir moterys","asmenys","27190"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Vyrai","asmenys","13982"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Moterys","asmenys","13208"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Vyrai ir moterys","asmenys","26091"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Vyrai","asmenys","13237"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","21","Miestas ir kaimas","Moterys","asmenys","12854"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Vyrai ir moterys","asmenys","30554"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Vyrai","asmenys","15847"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Moterys","asmenys","14707"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Vyrai ir moterys","asmenys","28672"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Vyrai","asmenys","14846"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Moterys","asmenys","13826"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Vyrai ir moterys","asmenys","28516"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Vyrai","asmenys","14637"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Moterys","asmenys","13879"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Vyrai ir moterys","asmenys","27508"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Vyrai","asmenys","14120"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","22","Miestas ir kaimas","Moterys","asmenys","13388"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Vyrai ir moterys","asmenys","31342"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Vyrai","asmenys","16174"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Moterys","asmenys","15168"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Vyrai ir moterys","asmenys","28880"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Vyrai","asmenys","14803"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Moterys","asmenys","14077"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Vyrai ir moterys","asmenys","28564"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Vyrai","asmenys","14798"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Moterys","asmenys","13766"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Vyrai ir moterys","asmenys","28877"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Vyrai","asmenys","14877"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","23","Miestas ir kaimas","Moterys","asmenys","14000"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Vyrai ir moterys","asmenys","32282"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Vyrai","asmenys","16826"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Moterys","asmenys","15456"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Vyrai ir moterys","asmenys","29474"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Vyrai","asmenys","15000"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Moterys","asmenys","14474"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Vyrai ir moterys","asmenys","29018"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Vyrai","asmenys","14881"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Moterys","asmenys","14137"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Vyrai ir moterys","asmenys","29324"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Vyrai","asmenys","15179"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","24","Miestas ir kaimas","Moterys","asmenys","14145"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Vyrai ir moterys","asmenys","32620"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Vyrai","asmenys","17000"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Moterys","asmenys","15620"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Vyrai ir moterys","asmenys","30171"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Vyrai","asmenys","15448"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Moterys","asmenys","14723"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Vyrai ir moterys","asmenys","29578"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Vyrai","asmenys","15055"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Moterys","asmenys","14523"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Vyrai ir moterys","asmenys","29796"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Vyrai","asmenys","15328"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","25","Miestas ir kaimas","Moterys","asmenys","14468"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Vyrai ir moterys","asmenys","35902"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Vyrai","asmenys","18837"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Moterys","asmenys","17065"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Vyrai ir moterys","asmenys","30368"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Vyrai","asmenys","15415"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Moterys","asmenys","14953"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Vyrai ir moterys","asmenys","30490"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Vyrai","asmenys","15653"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Moterys","asmenys","14837"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Vyrai ir moterys","asmenys","30525"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Vyrai","asmenys","15521"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","26","Miestas ir kaimas","Moterys","asmenys","15004"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Vyrai ir moterys","asmenys","39017"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Vyrai","asmenys","20326"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Moterys","asmenys","18691"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Vyrai ir moterys","asmenys","33353"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Vyrai","asmenys","17044"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Moterys","asmenys","16309"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Vyrai ir moterys","asmenys","30732"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Vyrai","asmenys","15644"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Moterys","asmenys","15088"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Vyrai ir moterys","asmenys","31684"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Vyrai","asmenys","16325"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","27","Miestas ir kaimas","Moterys","asmenys","15359"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Vyrai ir moterys","asmenys","39248"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Vyrai","asmenys","20818"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Moterys","asmenys","18430"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Vyrai ir moterys","asmenys","37226"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Vyrai","asmenys","18995"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Moterys","asmenys","18231"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Vyrai ir moterys","asmenys","33918"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Vyrai","asmenys","17398"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Moterys","asmenys","16520"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Vyrai ir moterys","asmenys","32224"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Vyrai","asmenys","16446"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","28","Miestas ir kaimas","Moterys","asmenys","15778"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Vyrai ir moterys","asmenys","38589"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Vyrai","asmenys","20416"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Moterys","asmenys","18173"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Vyrai ir moterys","asmenys","38084"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Vyrai","asmenys","19547"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Moterys","asmenys","18537"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Vyrai ir moterys","asmenys","37850"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Vyrai","asmenys","19317"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Moterys","asmenys","18533"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Vyrai ir moterys","asmenys","35678"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Vyrai","asmenys","18341"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","29","Miestas ir kaimas","Moterys","asmenys","17337"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Vyrai ir moterys","asmenys","36871"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Vyrai","asmenys","19541"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Moterys","asmenys","17330"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Vyrai ir moterys","asmenys","38892"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Vyrai","asmenys","19692"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Moterys","asmenys","19200"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Vyrai ir moterys","asmenys","38715"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Vyrai","asmenys","19896"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Moterys","asmenys","18819"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Vyrai ir moterys","asmenys","39715"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Vyrai","asmenys","20356"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","30","Miestas ir kaimas","Moterys","asmenys","19359"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Vyrai ir moterys","asmenys","36937"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Vyrai","asmenys","19666"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Moterys","asmenys","17271"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Vyrai ir moterys","asmenys","37606"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Vyrai","asmenys","19077"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Moterys","asmenys","18529"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Vyrai ir moterys","asmenys","39604"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Vyrai","asmenys","20124"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Moterys","asmenys","19480"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Vyrai ir moterys","asmenys","40670"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Vyrai","asmenys","20981"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","31","Miestas ir kaimas","Moterys","asmenys","19689"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Vyrai ir moterys","asmenys","38625"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Vyrai","asmenys","20342"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Moterys","asmenys","18283"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Vyrai ir moterys","asmenys","38140"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Vyrai","asmenys","19398"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Moterys","asmenys","18742"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Vyrai ir moterys","asmenys","38318"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Vyrai","asmenys","19531"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Moterys","asmenys","18787"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Vyrai ir moterys","asmenys","41732"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Vyrai","asmenys","21263"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","32","Miestas ir kaimas","Moterys","asmenys","20469"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Vyrai ir moterys","asmenys","38256"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Vyrai","asmenys","20316"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Moterys","asmenys","17940"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Vyrai ir moterys","asmenys","40035"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Vyrai","asmenys","20274"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Moterys","asmenys","19761"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Vyrai ir moterys","asmenys","38891"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Vyrai","asmenys","19914"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Moterys","asmenys","18977"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Vyrai ir moterys","asmenys","40457"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Vyrai","asmenys","20708"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","33","Miestas ir kaimas","Moterys","asmenys","19749"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Vyrai ir moterys","asmenys","36757"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Vyrai","asmenys","19149"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Moterys","asmenys","17608"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Vyrai ir moterys","asmenys","40506"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Vyrai","asmenys","20812"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Moterys","asmenys","19694"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Vyrai ir moterys","asmenys","40717"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Vyrai","asmenys","20715"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Moterys","asmenys","20002"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Vyrai ir moterys","asmenys","41147"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Vyrai","asmenys","21133"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","34","Miestas ir kaimas","Moterys","asmenys","20014"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Vyrai ir moterys","asmenys","36300"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Vyrai","asmenys","19096"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Moterys","asmenys","17204"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Vyrai ir moterys","asmenys","39149"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Vyrai","asmenys","19761"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Moterys","asmenys","19388"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Vyrai ir moterys","asmenys","41103"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Vyrai","asmenys","21220"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Moterys","asmenys","19883"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Vyrai ir moterys","asmenys","42919"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Vyrai","asmenys","21924"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","35","Miestas ir kaimas","Moterys","asmenys","20995"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Vyrai ir moterys","asmenys","36071"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Vyrai","asmenys","18930"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Moterys","asmenys","17141"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Vyrai ir moterys","asmenys","38685"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Vyrai","asmenys","19628"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Moterys","asmenys","19057"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Vyrai ir moterys","asmenys","39832"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Vyrai","asmenys","20225"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Moterys","asmenys","19607"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Vyrai ir moterys","asmenys","43401"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Vyrai","asmenys","22488"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","36","Miestas ir kaimas","Moterys","asmenys","20913"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Vyrai ir moterys","asmenys","33343"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Vyrai","asmenys","17402"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Moterys","asmenys","15941"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Vyrai ir moterys","asmenys","38276"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Vyrai","asmenys","19414"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Moterys","asmenys","18862"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Vyrai ir moterys","asmenys","39158"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Vyrai","asmenys","19986"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Moterys","asmenys","19172"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Vyrai ir moterys","asmenys","41957"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Vyrai","asmenys","21449"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","37","Miestas ir kaimas","Moterys","asmenys","20508"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Vyrai ir moterys","asmenys","33132"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Vyrai","asmenys","17388"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Moterys","asmenys","15744"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Vyrai ir moterys","asmenys","35722"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Vyrai","asmenys","17945"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Moterys","asmenys","17777"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Vyrai ir moterys","asmenys","38695"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Vyrai","asmenys","19720"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Moterys","asmenys","18975"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Vyrai ir moterys","asmenys","41234"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Vyrai","asmenys","21129"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","38","Miestas ir kaimas","Moterys","asmenys","20105"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Vyrai ir moterys","asmenys","32947"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Vyrai","asmenys","17142"
